Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
380000,1.5341727,0.105235636,0.07066148,0.8471788,0.00018677195,7.0,6.9835861793586185,370.35714285714283,6.983586786048753
385000,1.5766611,0.112583145,0.06694137,0.83415335,0.00018532749,7.0,6.51852903220736,335.7857142857143,6.668047163348931
390000,1.5417366,0.23051308,0.06950853,0.8236111,0.00018381742,7.0,5.2323737589797625,364.6,5.191276297904551
395000,1.3845938,0.14114703,0.062491506,0.85981894,0.0001822317,7.0,6.375343277684546,336.2142857142857,6.375344013529165
400000,1.4680606,0.18001221,0.062372133,0.8488287,0.00018071964,7.0,6.499200455262326,310.875,6.499201092869043
405000,1.5493608,0.13824278,0.06511187,0.7969694,0.00017925736,7.0,6.560537953642779,311.875,6.560538619756699
410000,1.6223214,0.112269714,0.067065276,0.8248102,0.00017773251,7.0,6.92845048190793,319.0,6.879574573040008
415000,1.6406658,0.15702997,0.05975761,0.8104598,0.00017622153,7.0,6.036231191094535,345.38461538461536,6.152329846152237
420000,1.6477013,0.14310728,0.057770163,0.7663555,0.00017479573,7.0,6.971800439552787,319.7647058823529,6.971800967174418
425000,1.6467271,0.12794021,0.06417221,0.7552153,0.00017326679,7.0,6.863578241137374,300.6111111111111,6.863578730159336
430000,1.6739635,0.15949924,0.061604932,0.81744796,0.00017168529,7.0,6.188186157045753,309.35714285714283,6.188186867960861
435000,1.6517267,0.1601094,0.064832844,0.80625606,0.00017026054,7.0,6.552700409054523,319.6875,6.552700998261571
440000,1.6454175,0.13168958,0.066899255,0.7498477,0.00016867935,7.0,5.861947079313298,335.26666666666665,5.861948058009148
445000,1.654162,0.16718142,0.06755146,0.7657401,0.00016727146,7.0,6.826571935072674,313.5,6.826572582125664
450000,1.6038107,0.1613076,0.07521057,0.7496854,0.00016572326,7.0,6.089662910962943,345.1875,6.0896633910015225
455000,1.6362476,0.14009929,0.0678418,0.7164463,0.00016422824,7.0,6.81231478425408,327.85714285714283,6.812315419316292
460000,1.7148955,0.09830359,0.059287764,0.6585764,0.00016276282,7.0,7.1870937785444164,343.46666666666664,7.187094292044639
465000,1.8175297,0.13299146,0.06417169,0.64178354,0.00016125005,7.0,7.105653774862488,291.6666666666667,7.105654386679332
470000,1.8643887,0.17109036,0.07056755,0.66076064,0.00015983116,7.0,6.353055994194518,310.94444444444446,6.3530567437410355
475000,1.8051199,0.15986678,0.07084517,0.66235554,0.00015830323,7.0,6.767600496998057,292.4375,6.767601080238819
480000,1.8059098,0.122957304,0.06497615,0.6577307,0.00015674782,7.0,6.964423966813175,327.0,6.964424699544907
485000,1.7630258,0.1309649,0.067034,0.6499725,0.00015523162,7.0,6.7608147734510045,308.0,6.760815314948559
490000,1.6979065,0.16344655,0.07488225,0.6525354,0.00015375899,7.0,6.63760041181619,359.46666666666664,6.567243859171867
495000,1.6595035,0.19573887,0.066772066,0.62908024,0.00015229944,7.0,6.373000437844894,312.0,6.446506998994771
500000,1.5338678,0.06997353,0.06954048,0.6687902,0.00015080502,7.0,7.5731504813884385,423.3333333333333,7.573151122778654
505000,1.6762246,0.17798394,0.07634541,0.62611306,0.00014922215,7.0,6.196475374134025,300.9375,6.196476021781564
510000,1.6270744,0.18231647,0.056464113,0.6156181,0.00014770949,7.0,6.607671837954383,318.5,6.607672607260091
515000,1.6227474,0.124431126,0.062638305,0.60418564,0.00014619499,7.0,6.772965115727857,341.88235294117646,6.772965625805013
520000,1.7155685,0.130616,0.06803176,0.6299073,0.00014475359,7.0,7.200700472840773,296.85714285714283,7.200701293136392
525000,1.6264232,0.11345924,0.06419902,0.6185969,0.00014325317,7.0,7.097427089000121,300.2,7.09742757777373
530000,1.5533029,0.14306924,0.06590894,0.6319986,0.00014177494,7.0,5.755414617447449,384.5,5.7554155098540445
535000,1.4411982,0.14545564,0.06695102,0.62111413,0.00014028799,7.0,6.460686164392557,393.35714285714283,6.460686801799706
540000,1.6773955,0.11994898,0.07841614,0.59196925,0.00013876848,7.0,7.115862999315141,318.875,7.1158634359017015
545000,1.7912145,0.14960253,0.06671645,0.62464297,0.00013717842,7.0,7.047989334846433,282.94444444444446,7.0110952582429436
550000,1.7845958,0.11358273,0.070187785,0.60440135,0.0001356836,7.0,7.690840486017987,306.6666666666667,7.684414251645406
555000,1.8286754,0.0955716,0.06826157,0.6216549,0.00013419679,7.0,7.4317504378268495,315.4375,7.451741968007648
560000,1.9215634,0.120575495,0.07266672,0.64363456,0.00013278524,7.0,7.130765170283506,278.6470588235294,7.130765656338019
565000,1.911755,0.1711992,0.061246444,0.6365529,0.00013124231,7.0,7.0491337689001945,281.77777777777777,7.049134198162291
570000,1.8384447,0.12543178,0.075960465,0.6738368,0.00012968013,7.0,6.796129038424364,344.0,6.796129689684936
575000,1.808898,0.18523046,0.07077077,0.6311674,0.00012823605,7.0,6.005200409097597,304.6875,6.005200960673392
580000,1.7859075,0.113658644,0.06543655,0.6260197,0.00012679343,7.0,7.419821483279137,262.3157894736842,7.401467498805788
585000,1.7695838,0.13430786,0.06676545,0.67583334,0.00012522466,7.0,6.727412943888339,332.3125,6.914601214230061
590000,1.8236805,0.1753659,0.07323395,0.64931947,0.00012377666,7.0,6.906056043523778,258.3333333333333,6.79285372558393
595000,1.9020883,0.14420442,0.063494116,0.65507334,0.0001222485,7.0,6.819100432380635,321.2142857142857,6.819101186735289
600000,1.8083277,0.15425315,0.07455067,0.6608296,0.00012077448,7.0,6.446150397663587,363.5,6.446151023730636
